! Supplementary Material
! Trandat:Mechanism for 1-, 2-, and 3-pentanol
! Manuscript: 1-, 2-, and 3-pentanol combustion in laminar hydrogen flames - a comparative experimental and modeling study.
! Markus Köhler, Trupti Kathrotia, Patrick Oßwald, Marileen L. Fischer-Tammer, Kai Moshammer, Uwe Riedel

Ar                 0   136.500     3.330     0.000     0.000     0.000 !CHEMKIN-v4.1.1
He                 0    10.200     2.576     0.000     0.000     0.000 !CHEMKIN-v4.1.1
N2                 1    97.530     3.621     0.000     1.760     4.000 !CHEMKIN-v4.1.1
lC5H7(94)          1   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: lC5H7)	
C6H2(95)           1   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C6H2)	
C6H3(96)           2   357.000     5.180     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C6H3)	 //!
l-C6H4(97)         2   412.300     5.349     0.000     0.000     1.000 ! Primary Transport Library: USCII (Species ID: l-C6H4)	 //!(JAM)
o-C6H4(98)         2   464.800     5.290     0.000    10.320     0.000 ! Primary Transport Library: USCII (Species ID: o-C6H4)	 //! benze
C6H5(99)           1   275.205     4.597     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 339.041K Pc=  45.531bar Vc=  17.500cm3/mol Tb= 198.000K	null)
C6H6(100)          1   276.894     4.657     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 339.041K Pc=  43.626bar Vc=  17.500cm3/mol Tb= 198.000K	null)
C6H5CH2(101)       2   298.078     4.974     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 370.902K Pc=  39.555bar Vc=  82.500cm3/mol Tb= 221.580K	(CsH3R)
C6H5CH3(102)       2   299.911     5.034     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 370.902K Pc=  38.010bar Vc=  82.500cm3/mol Tb= 221.580K	(CsH3R)
C6H5C2H(103)       1   325.695     5.035     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 398.598K Pc=  40.570bar Vc= 100.500cm3/mol Tb= 234.580K	(CtR2, CtHR)
C6H5O(104)         2   335.505     4.798     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 452.270K Pc=  56.532bar Vc=  -7.500cm3/mol Tb= 274.340K	(Phenol)
C6H5OH(105)        2   338.093     4.866     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 452.270K Pc=  53.907bar Vc=  -7.500cm3/mol Tb= 274.340K	(Phenol)
C6H4O2(106)        2   485.000     5.425     0.400     0.000     1.000 ! Primary Transport Library: USCII (Species ID: C6H4O2)	
C6H5CO(107)        2   326.454     5.165     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 436.478K Pc=  43.511bar Vc=  99.500cm3/mol Tb= 270.240K	(Aldehyde_Ccentered, Aldehyde_Ocentered)
C6H5CHO(108)       2   328.820     5.229     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 436.478K Pc=  41.731bar Vc=  99.500cm3/mol Tb= 270.240K	(Aldehyde_Ccentered, Aldehyde_Ocentered)
C6H5CH2OH(109)     2   303.450     5.504     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 471.751K Pc=  42.719bar Vc= 101.500cm3/mol Tb= 313.760K	(CsH2R2, Alcohol)
OC6H4CH3(110)      2   353.092     5.170     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 481.048K Pc=  48.360bar Vc=  57.500cm3/mol Tb= 297.920K	(Phenol, CsH3R)
HOC6H4CH3(111)     2   355.792     5.238     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 481.048K Pc=  46.277bar Vc=  57.500cm3/mol Tb= 297.920K	(Phenol, CsH3R)
C6H4CH3(112)       2   298.078     4.974     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 370.902K Pc=  39.555bar Vc=  82.500cm3/mol Tb= 221.580K	(CsH3R)
C5H10(361)         2   333.055     5.721     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 476.456K Pc=  36.465bar Vc= 296.500cm3/mol Tb= 310.480K	(CdH2R, CdHR2, CsH2R2, CsH2R2, CsH3R)
C3H7OJ-2-1         2   295.279     5.464     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 525.644K Pc=  52.970bar Vc= 216.500cm3/mol Tb= 359.780K	(CsH3R, CsHR3, CsH3R, Alcohol)
C4H9OJ-2-1         2   298.173     5.836     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 548.341K Pc=  46.277bar Vc= 272.500cm3/mol Tb= 382.660K	(CsH3R, CsHR3, CsH2R2, CsH3R, Alcohol)
C3H8O(362)         2   290.043     5.571     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 522.274K Pc=  50.015bar Vc= 222.500cm3/mol Tb= 360.220K	(CsH2R2, CsH2R2, CsH3R, Alcohol)
C2H5OJ-1           2   282.956     5.128     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 499.111K Pc=  60.467bar Vc= 166.500cm3/mol Tb= 337.340K	(CsH2R2, CsH3R, Alcohol)
C4H9OJ-2-2         2   298.173     5.836     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 548.341K Pc=  46.277bar Vc= 272.500cm3/mol Tb= 382.660K	(CsH3R, CsHR3, CsH2R2, CsH3R, Alcohol)
C2H6O(380)         2   286.257     5.200     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 499.111K Pc=  57.566bar Vc= 166.500cm3/mol Tb= 337.340K	(Alcohol, CsH2R2, CsH3R)
C3H7OJ-1-1         2   286.676     5.500     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 522.274K Pc=  52.358bar Vc= 222.500cm3/mol Tb= 360.220K	(CsH2R2, CsH2R2, CsH3R, Alcohol)
C2H5OJ-2           2   282.956     5.128     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 499.111K Pc=  60.467bar Vc= 166.500cm3/mol Tb= 337.340K	(CsH3R, CsH2R2, Alcohol)
C3H7OJ-1-2         2   286.676     5.500     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 522.274K Pc=  52.358bar Vc= 222.500cm3/mol Tb= 360.220K	(CsH3R, CsH2R2, CsH2R2, Alcohol)
C4H9OJ-1-1         2   289.560     5.874     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 545.080K Pc=  45.777bar Vc= 278.500cm3/mol Tb= 383.100K	(CsH2R2, CsH2R2, CsH2R2, CsH3R, Alcohol)
C5H10(605)         2   344.620     5.743     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 489.897K Pc=  36.910bar Vc= 295.500cm3/mol Tb= 317.960K	(CsH3R, CdHR2, CdHR2, CsH2R2, CsH3R)
C4H9OJ-1-2         2   289.560     5.874     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 545.080K Pc=  45.777bar Vc= 278.500cm3/mol Tb= 383.100K	(CsH2R2, CsH2R2, CsH2R2, CsH3R, Alcohol)
C2H4O(120)         2   290.814     5.073     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 499.136K Pc=  61.418bar Vc= 147.500cm3/mol Tb= 334.020K	(CdH2R, CdHR2, Alcohol)
C5H11J-1           2   325.733     5.770     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 476.378K Pc=  36.029bar Vc= 315.500cm3/mol Tb= 313.800K	(CsH3R, CsH2R2, CsH2R2, CsH2R2, CsH3R)
C5H11J-2           2   325.733     5.770     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 476.378K Pc=  36.029bar Vc= 315.500cm3/mol Tb= 313.800K	(CsH3R, CsH2R2, CsH2R2, CsH2R2, CsH3R)
C3H6O-1-1          2   294.732     5.441     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 522.271K Pc=  53.124bar Vc= 203.500cm3/mol Tb= 356.900K	(Alcohol, CdH2R, CdHR2, CsH2R2)
C4H8O-2-1          2   305.337     5.787     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 548.150K Pc=  46.721bar Vc= 260.500cm3/mol Tb= 379.660K	(CdH2R, CdR3, CsH2R2, CsH3R, Alcohol)
C4H8O-2-2          2   306.558     5.776     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 548.415K Pc=  46.913bar Vc= 253.500cm3/mol Tb= 379.340K	(CsH3R, CsHR3, CdHR2, CdH2R, Alcohol)
