!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!                      The oxidation of the novel lignocellulosic biofuel gamma-valerolactone in a low pressure flame                                     !!
!!        Alena Sudholt(a), Rupali Tripathi(a), Daniel Mayer(a), Pierre-Alexandre Glaude(b), Frederique Battin-Leclerc(b), Heinz Pitsch(a)                 !!
!!																																						   !!
!!					(a) Institute for Combustion Technology, Templergraben 64, RWTH Aachen University, 52056 Aachen, Germany							   !!
!!					(b) Laboratoire Reaction et Genie des Procedes, CNRS, Universite de Lorraine, 1 Rue Grandville, 54001 Nancy Cedex, France			   !!
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!!
#SPECNAME      DUMMY     EPS/K     SIGMA     DUMMY     DUMMY     DUMMY
C5H11-2            0   440.735     5.041     0.000     0.000     0.000
C5H11-1            0   440.735     5.041     0.000     0.000     0.000
C5H11O-1           0   495.769     5.390     0.000     0.000     0.000
P-C2H4COC2H3           0   482.331     5.306     0.000     0.000     0.000
C2H5COC2H3           0   485.716     5.327     0.000     0.000     0.000
C2H5COC2H4P           0   489.084     5.348     0.000     0.000     0.000
C2H5COC2H5           0   492.434     5.369     0.000     0.000     0.000
C3H6COCH3-1           0   489.084     5.348     0.000     0.000     0.000
C3H6COCH3-2           0   489.084     5.348     0.000     0.000     0.000
C4H8CHO-1           0   489.084     5.348     0.000     0.000     0.000
C4H8CHO-2           0   489.084     5.348     0.000     0.000     0.000
C4H8CHO-3           0   489.084     5.348     0.000     0.000     0.000
C4H8CHO-4           0   489.084     5.348     0.000     0.000     0.000
N-C3H7COCH2           0   489.084     5.348     0.000     0.000     0.000
N-C3H7COCH3           0   492.434     5.369     0.000     0.000     0.000
N-C4H9CO           0   489.084     5.348     0.000     0.000     0.000
C5H10O1-3           0   492.434     5.369     0.000     0.000     0.000
C5H10O1-4           0   492.434     5.369     0.000     0.000     0.000
N-C4H9CHO           0   492.434     5.369     0.000     0.000     0.000
C5H10OH-1           0   495.769     5.390     0.000     0.000     0.000
C5H10OOH1-2           0   546.691     5.698     0.000     0.000     0.000
C5H10OOH1-3           0   546.691     5.698     0.000     0.000     0.000
C5H10OOH1-4           0   546.691     5.698     0.000     0.000     0.000
C5H11O2-1           0   546.691     5.698     0.000     0.000     0.000
C5H11O2H-1           0   549.783     5.717     0.000     0.000     0.000
NC5KET13           0   591.463     5.959     0.000     0.000     0.000
O2C5H10OH-1           0   594.385     5.976     0.000     0.000     0.000
C5H10OOH1-3O2           0   639.455     6.230     0.000     0.000     0.000
C6H101-3           0   479.072     5.286     0.000     0.000     0.000
C6H101OOH4-3           0   582.757     5.909     0.000     0.000     0.000
C6H111-3           0   482.473     5.307     0.000     0.000     0.000
C6H101-4           0   479.072     5.286     0.000     0.000     0.000
C6H101-5           0   479.072     5.286     0.000     0.000     0.000
C6H111-5           0   482.473     5.307     0.000     0.000     0.000
C6H11O1-3           0   534.323     5.625     0.000     0.000     0.000
C6H112O2-1           0   582.757     5.909     0.000     0.000     0.000
C6H111O2-3           0   582.757     5.909     0.000     0.000     0.000
C6H111-6           0   482.473     5.307     0.000     0.000     0.000
C6H111-4           0   482.473     5.307     0.000     0.000     0.000
C6H111O2-4           0   582.757     5.909     0.000     0.000     0.000
C6H111O2H-4           0   585.710     5.926     0.000     0.000     0.000
C6H111O2-5           0   582.757     5.909     0.000     0.000     0.000
C6H111O2-6           0   582.757     5.909     0.000     0.000     0.000
C6H12OOH1-2           0   588.653     5.943     0.000     0.000     0.000
C6H12OH-1           0   540.597     5.662     0.000     0.000     0.000
C6H12-3            0   485.857     5.328     0.000     0.000     0.000
C6H13-1            0   489.224     5.349     0.000     0.000     0.000
C6H13O-1           0   540.597     5.662     0.000     0.000     0.000
C6H13-2            0   489.224     5.349     0.000     0.000     0.000
C6H13-3            0   489.224     5.349     0.000     0.000     0.000
VTHF               0   531.165     5.606     0.000     0.000     0.000
NC3H7COC2H4P           0   534.323     5.625     0.000     0.000     0.000
C6H12O1-3           0   537.467     5.643     0.000     0.000     0.000
C6H12O1-4           0   537.467     5.643     0.000     0.000     0.000
O2C6H12OH-1           0   634.020     6.200     0.000     0.000     0.000
C6H101OOH3-5           0   582.757     5.909     0.000     0.000     0.000
MVOX               0   531.165     5.606     0.000     0.000     0.000
C6H101OOH5-3           0   582.757     5.909     0.000     0.000     0.000
C6H101OOH6-3           0   582.757     5.909     0.000     0.000     0.000
C6H12OOH1-3           0   588.653     5.943     0.000     0.000     0.000
C6H12OOH1-4           0   588.653     5.943     0.000     0.000     0.000
C6H13O2-1           0   588.653     5.943     0.000     0.000     0.000
NC6KET13           0   631.232     6.184     0.000     0.000     0.000
C6H12OOH1-3O2           0   677.149     6.436     0.000     0.000     0.000
CH3CHCOCH3                   2   440.584     5.040     0.000     0.000     0.000
CH3CHCOCH3         2   440.584     5.040     0.000     0.000     0.000    !FLAMEMASTER
A1-C6H6            2   464.8       5.29      0.00     10.32      1.000
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!GVL!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
GVL                2   420.347     5.984     0.000     0.000     1.000 ! LJ PARAMETERS ESTIMATED BY RMG: TC= 643.755K PC=  44.922BAR VC= 284.500CM3/MOL TB= 423.850K	(KETONE_OCENTERED, KETONE_RING, CSRINGH2R2, CSRINGH2R2, CSRINGHR3, CSH3R, ETHER_RING)
GVLR-2             2   416.462     5.910     0.000     0.000     1.000 ! LJ PARAMETERS ESTIMATED BY RMG: TC= 643.755K PC=  46.913BAR VC= 284.500CM3/MOL TB= 423.850K	(KETONE_OCENTERED, KETONE_RING, CSRINGH2R2, CSRINGH2R2, CSRINGHR3, CSH3R, ETHER_RING)
GVLR-3             2   416.462     5.910     0.000     0.000     1.000 ! LJ PARAMETERS ESTIMATED BY RMG: TC= 643.755K PC=  46.913BAR VC= 284.500CM3/MOL TB= 423.850K	(KETONE_OCENTERED, KETONE_RING, CSRINGH2R2, CSRINGH2R2, CSRINGHR3, CSH3R, ETHER_RING)
GVLR-4             2   416.462     5.910     0.000     0.000     1.000 ! LJ PARAMETERS ESTIMATED BY RMG: TC= 643.755K PC=  46.913BAR VC= 284.500CM3/MOL TB= 423.850K	(KETONE_OCENTERED, KETONE_RING, CSRINGH2R2, CSRINGH2R2, CSRINGHR3, CSH3R, ETHER_RING)
GVLR-5             2   416.462     5.910     0.000     0.000     1.000 ! LJ PARAMETERS ESTIMATED BY RMG: TC= 643.755K PC=  46.913BAR VC= 284.500CM3/MOL TB= 423.850K	(KETONE_OCENTERED, KETONE_RING, CSRINGH2R2, CSRINGH2R2, CSRINGHR3, CSH3R, ETHER_RING)
C*CCCC(*O)OH       2   349.716     5.969     0.000     0.000     1.000 ! LJ PARAMETERS ESTIMATED BY RMG: TC= 542.356K PC=  38.435BAR VC= 293.500CM3/MOL TB= 363.650K	(KETONE_OCENTERED, KETONE_CCENTERED, CSH2R2, CSH2R2, CDHR2, CDH2R, ACID_OCENTERED1)
O*CY(CCO)          2   376.558     4.964     0.000     0.000     1.000 ! LJ PARAMETERS ESTIMATED BY RMG: TC= 559.290K PC=  67.076BAR VC= 133.500CM3/MOL TB= 351.340K	(KETONE_OCENTERED, KETONE_RING, CSRINGH2R2, ETHER_RING)
CJC(*O)OH          2   324.854     4.958     0.000     0.000     1.000 ! LJ PARAMETERS ESTIMATED BY RMG: TC= 472.368K PC=  56.110BAR VC= 144.500CM3/MOL TB= 298.330K	(ACID_OCENTERED1, KETONE_CCENTERED, CSH3R, KETONE_OCENTERED)
CJ(*O)OH           2   278.022     4.860     0.000     0.000     1.000 ! LJ PARAMETERS ESTIMATED BY RMG: TC= 534.365K PC=  80.292BAR VC= 127.500CM3/MOL TB= 363.120K	(ALDEHYDE_OCENTERED, ALDEHYDE_CCENTERED, ALCOHOL)
O*CY(COCJCC)       2   411.637     5.499     0.000     0.000     1.000 ! LJ PARAMETERS ESTIMATED BY RMG: TC= 628.742K PC=  56.447BAR VC= 229.500CM3/MOL TB= 405.640K	(KETONE_OCENTERED, KETONE_RING, CSRINGH2R2, CSRINGH2R2, CSRINGH2R2, ETHER_RING)
O*C*CCC(C)OJ       2   274.313     5.656     0.000     0.000     1.000 ! LJ PARAMETERS ESTIMATED BY RMG: TC= 564.188K PC=  56.110BAR VC= 325.500CM3/MOL TB= 399.690K	(OD, CDDR2, CDHR2, CSH2R2, CSHR3, CSH3R, ALCOHOL)
C*CC(*O)OCJC       2   355.474     5.923     0.000     0.000     1.000 ! LJ PARAMETERS ESTIMATED BY RMG: TC= 546.412K PC=  39.407BAR VC= 302.500CM3/MOL TB= 364.350K	(CSH3R, CSH2R2, ESTER_OCENTERED1, KETONE_CCENTERED, CDHR2, CDH2R, KETONE_OCENTERED)
CC*CCC(*O)OJ       2   357.421     5.915     0.000     0.000     1.000 ! LJ PARAMETERS ESTIMATED BY RMG: TC= 555.549K PC=  40.518BAR VC= 292.500CM3/MOL TB= 371.130K	(CSH3R, CDHR2, CDHR2, CSH2R2, KETONE_CCENTERED, ACID_OCENTERED1, KETONE_OCENTERED)
C*CC(C)OC*JO       2   346.641     5.962     0.000     0.000     1.000 ! LJ PARAMETERS ESTIMATED BY RMG: TC= 562.454K PC=  41.144BAR VC= 325.500CM3/MOL TB= 381.120K	(CDH2R, CDHR2, CSHR3, ETHER, ALDEHYDE_CCENTERED, ALDEHYDE_OCENTERED, CSH3R)
CC(*O)CCC*JO       2   346.094     6.112     0.000     0.000     1.000 ! LJ PARAMETERS ESTIMATED BY RMG: TC= 602.509K PC=  42.775BAR VC= 338.500CM3/MOL TB= 416.330K	(CSH3R, KETONE_CCENTERED, CSH2R2, CSH2R2, ALDEHYDE_CCENTERED, ALDEHYDE_OCENTERED, KETONE_OCENTERED)
