C3H5O31          2 9.739500E+02 6.530000E+00 0.000000E+00 0.000000E+00 0.000000E+00
C3H5O32          2 9.739500E+02 6.530000E+00 0.000000E+00 0.000000E+00 0.000000E+00
C3H4-P           1 3.248000E+02 4.290000E+00 0.000000E+00 0.000000E+00 1.000000E+00
C3H4-A           1 3.248000E+02 4.290000E+00 0.000000E+00 0.000000E+00 1.000000E+00
C3H3             1 3.248000E+02 4.290000E+00 0.000000E+00 0.000000E+00 1.000000E+00
CC3H4            1 3.248000E+02 4.290000E+00 0.000000E+00 0.000000E+00 1.000000E+00
C3H2             2 2.653000E+02 3.721000E+00 0.000000E+00 0.000000E+00 1.000000E+00
H2CCC(S)         2 2.653000E+02 3.721000E+00 0.000000E+00 0.000000E+00 1.000000E+00
C3H2(S)          2 2.653000E+02 3.721000E+00 0.000000E+00 0.000000E+00 1.000000E+00
C3H2C            2 2.653000E+02 3.721000E+00 0.000000E+00 0.000000E+00 1.000000E+00
TQJC3H6OH        2 4.642000E+02 5.009000E+00 2.600000E+00 0.000000E+00 1.000000E+00
TQC3H6OI         2 4.642000E+02 5.009000E+00 2.600000E+00 0.000000E+00 1.000000E+00
QC3H5OHP         2 4.642000E+02 5.009000E+00 2.600000E+00 0.000000E+00 1.000000E+00
TQC3H5OHI        2 4.642000E+02 5.009000E+00 2.600000E+00 0.000000E+00 1.000000E+00
QC3H5OHPO2       2 4.960000E+02 5.200000E+00 0.000000E+00 0.000000E+00 1.000000E+00
C3H4OHOOH1-3-2   2 4.642000E+02 5.009000E+00 2.600000E+00 0.000000E+00 1.000000E+00
C3H4OH1KT2-3     2 5.022000E+02 5.356000E+00 1.800000E+00 0.000000E+00 1.000000E+00
C(OH)CY(COC)     2 8.877400E+02 6.280000E+00 0.000000E+00 0.000000E+00 0.000000E+00
CCY(COC)OH       2 8.877400E+02 6.280000E+00 0.000000E+00 0.000000E+00 0.000000E+00
CY(COC)COH       2 8.877400E+02 6.280000E+00 0.000000E+00 0.000000E+00 0.000000E+00
